Title, Platform, Date 
oO, iOS, 2014-03-21 
WordCaster, iOS, 2014-03-21 
Roll Back Home, iOS, 2014-03-20 
Adventure Beaks, iOS, 2014-03-20 
Perfection!, iOS, 2014-03-20 
Symbol Link - new puzzle game from Tetris inventor Alexey Pajitnov, iOS, 2014-03-20 
TriBlaster, iOS, 2014-03-20 
Orions Gold, iOS, 2014-03-20 
Star Horizon, iOS, 2014-03-20 
Tiny City, iOS, 2014-03-20 
Baby Bird Bros., iOS, 2014-03-20 
Defenders, iOS, 2014-03-20 
Loco Motors, iOS, 2014-03-20 
Sango Slayer:Saga of Zhaoyun, iOS, 2014-03-20 
Shu's Garden, iOS, 2014-03-20 
The Collectables, iOS, 2014-03-19 
Nova's Dream, iOS, 2014-03-19 
Bonza Word Puzzle, iOS, 2014-03-19 
Cardinal Quest 2, iOS, 2014-03-19 
Globlins, iOS, 2014-03-19 
Shooting Showdown 2, iOS, 2014-03-19 
The Collider, iOS, 2014-03-19 
Darkstone, iOS, 2014-03-19 
Cozmo, iOS, 2014-03-18 
Sumotori Dreams, iOS, 2014-03-18 
Finder's Keep, iOS, 2014-03-17 
Warp 5 Overdrive, iOS, 2014-03-17 
Battle Gems (AdventureQuest), iOS, 2014-03-17 
Dark Guardians, iOS, 2014-03-17 
GOAL 2014 - Football Manager, iOS, 2014-03-17 
World Cruise Story, iOS, 2014-03-17 
999: The Novel, iOS, 2014-03-17 
Braveland, iOS, 2014-03-16 
Echo: A Music Game, iOS, 2014-03-16 
Tank Battle: East Front 1942, iOS, 2014-03-15 
pixa, iOS, 2014-03-15 
Coolson's Pocket Pack, iOS, 2014-03-14 
PZL, iOS, 2014-03-14 
Dudeski, iOS, 2014-03-13 
Glorkian Warrior: Trials Of Glork, iOS, 2014-03-13 
Lost Light, iOS, 2014-03-13 
Penombre, iOS, 2014-03-13 
Amber Halls, iOS, 2014-03-13 
Ikue - Master Your Mind, iOS, 2014-03-13 
Dungeon and Girls, iOS, 2014-03-13 
Lil Smasher, iOS, 2014-03-13 
Surgeon Simulator, iOS, 2014-03-12 
First Strike Game, iOS, 2014-03-12 
500 Years Act 1, iOS, 2014-03-12 
Global Food Fight, iOS, 2014-03-12 
Pocket Gunfighters, iOS, 2014-03-12 
Word Forward, iOS, 2014-03-12 
Bounty Rush, iOS, 2014-03-12 
Monster Legacy, iOS, 2014-03-12 
Cat vs. Aliens, iOS, 2014-03-11 
Puzzling Rush, iOS, 2014-03-11 
Life Quest HD, iOS, 2012-06-6 
Life Quest, iOS, 2012-06-6 
Project 83113, iOS, 2012-06-6 
Soccer Rally: Euro 2012, iOS, 2012-06-6 
Unlock, iOS, 2012-06-6 
Amazing Shape Shifters, iOS, 2012-06-6 
Fur and Feathers HD, iOS, 2012-06-6 
Unblock Jennifer, iOS, 2012-06-6 
Dead City, iOS, 2012-06-5 
Kingdom of Heroes HD, iOS, 2012-06-5 
Dead City PLUS, iOS, 2012-06-5 
Fuusio, iOS, 2012-06-5 
Zoo Defenders, iOS, 2012-06-5 
Mad Acorn, iOS, 2012-06-4 
Golf KingDoms, iOS, 2012-06-4 
Pixely People Making Movies, iOS, 2012-06-4 
Hen House Havoc, iOS, 2012-06-4 
Track the Ripper, iOS, 2012-06-4 
Dungeon Village, iOS, 2012-06-2 
EnigmOn 2, iOS, 2012-06-2 
Pyramid Run, iOS, 2012-06-2 
